Date,Open,High,Low,Close,Adj Close,Volume,monthly returns,mr%,,,
01-05-2008,1385.969971,1440.23999,1373.069946,1400.380005,1400.380005,80990480000,14.410034,1.029008837,,,1.927014929
01-06-2008,1399.619995,1404.050049,1272,1280,1280,96614040000,-119.619995,-9.345312109,,,1.938034868
01-07-2008,1276.689941,1292.170044,1200.439941,1267.380005,1267.380005,1.24981E+11,-9.309936,-0.734581259,,,1.93967864
01-08-2008,1269.420044,1313.150024,1247.449951,1282.829956,1282.829956,86266010000,13.409912,1.045338233,,,1.984008245
01-09-2008,1287.829956,1303.040039,1106.420044,1166.359985,1166.359985,1.40007E+11,-121.469971,-10.41444945,,,2.035268725
01-10-2008,1164.170044,1167.030029,839.799988,968.75,968.75,1.59823E+11,-195.420044,-20.17239164,,,2.036834225
01-11-2008,968.669983,1007.51001,741.02002,896.23999,896.23999,1.1566E+11,-72.429993,-8.081539968,,,2.038189745
01-12-2008,888.609985,918.849976,815.690002,903.25,903.25,1.12884E+11,14.640015,1.620815389,,,2.045094501
01-01-2009,902.98999,943.849976,804.299988,825.880005,825.880005,1.12091E+11,-77.109985,-9.336705639,,,2.083520147
01-02-2009,823.090027,875.01001,734.52002,735.090027,735.090027,1.24492E+11,-88,-11.9713228,,,2.091110392
01-03-2009,729.570007,832.97998,666.789978,797.869995,797.869995,1.61844E+11,68.299988,8.560290326,,,2.098578698
01-04-2009,793.590027,888.700012,783.320007,872.809998,872.809998,1.38855E+11,79.219971,9.076427995,,,2.0992078
01-05-2009,872.73999,930.169983,866.099976,919.140015,919.140015,1.31615E+11,46.400025,5.048199865,,,2.106572498
01-06-2009,923.26001,956.22998,888.859985,919.320007,919.320007,1.12653E+11,-3.940003,-0.428577967,,,2.150721255
01-07-2009,920.820007,996.679993,869.320007,987.47998,987.47998,1.06636E+11,66.659973,6.750513869,,,2.172057454
01-08-2009,990.219971,1039.469971,978.51001,1020.619995,1020.619995,1.16059E+11,30.400024,2.978584013,,,2.215967414
01-09-2009,1019.52002,1080.150024,991.969971,1057.079956,1057.079956,1.12295E+11,37.559936,3.553178337,,,2.221284337
01-10-2009,1054.910034,1101.359985,1019.950012,1036.189941,1036.189941,1.13411E+11,-18.720093,-1.806627555,,,2.234279668
01-11-2009,1036.180054,1113.689941,1029.380005,1095.630005,1095.630005,84981530000,59.449951,5.42609738,,,2.262001793
01-12-2009,1098.890015,1130.380005,1085.890015,1115.099976,1115.099976,89515330000,16.209961,1.453677818,,,2.275307223
01-01-2010,1116.560059,1150.449951,1071.589966,1073.869995,1073.869995,90947580000,-42.690064,-3.9753475,,,2.303284276
01-02-2010,1073.890015,1112.420044,1044.5,1104.48999,1104.48999,84561340000,30.599975,2.770507228,,,2.309660656
01-03-2010,1105.359985,1180.689941,1105.359985,1169.430054,1169.430054,1.03684E+11,64.070069,5.478743152,,,2.337412386
01-04-2010,1171.22998,1219.800049,1170.689941,1186.689941,1186.689941,1.16742E+11,15.459961,1.302780151,,,2.368061115
01-05-2010,1188.579956,1205.130005,1040.780029,1089.410034,1089.410034,1.27663E+11,-99.169922,-9.103085056,,,2.369036903
01-06-2010,1087.300049,1131.22998,1028.329956,1030.709961,1030.709961,1.10107E+11,-56.590088,-5.490398865,,,2.382981525
01-07-2010,1031.099976,1120.949951,1010.909973,1101.599976,1101.599976,94778110000,70.5,6.399782275,,,2.386876153
01-08-2010,1107.530029,1129.23999,1039.699951,1049.329956,1049.329956,85738250000,-58.200073,-5.546403461,,,2.399216048
01-09-2010,1049.719971,1157.160034,1049.719971,1141.199951,1141.199951,79589450000,91.47998,8.016121971,,,2.41959602
01-10-2010,1143.48999,1196.140015,1131.869995,1183.26001,1183.26001,89536270000,39.77002,3.361055023,,,2.431281212
01-11-2010,1185.709961,1227.079956,1173,1180.550049,1180.550049,87151070000,-5.159912,-0.437076938,,,2.483432136
01-12-2010,1186.599976,1262.599976,1186.599976,1257.640015,1257.640015,80984530000,71.040039,5.64867833,,,2.502915451
01-01-2011,1257.619995,1302.670044,1257.619995,1286.119995,1286.119995,92164940000,28.5,2.215967414,,,2.537902274
01-02-2011,1289.140015,1344.069946,1289.140015,1327.219971,1327.219971,59223660000,38.079956,2.869151824,,,2.546545506
01-03-2011,1328.640015,1332.280029,1249.050049,1325.829956,1325.829956,89507640000,-2.810059,-0.211947165,,,2.560877809
01-04-2011,1329.47998,1364.560059,1294.699951,1363.609985,1363.609985,77364810000,34.130005,2.502915451,,,2.581418817
01-05-2011,1365.209961,1370.579956,1311.800049,1345.199951,1345.199951,81708980000,-20.01001,-1.487511948,,,2.608807486
01-06-2011,1345.199951,1345.199951,1258.069946,1320.640015,1320.640015,86122730000,-24.559936,-1.859699518,,,2.660217739
